timestamp,demand_mw,pt_demand_mw,es_demand_mw,irradiance_w_m2,ambient_temperature_c,wind_speed_m_s,pt_irradiance_w_m2,es_irradiance_w_m2,pt_ambient_temperature_c,es_ambient_temperature_c,pt_wind_speed_m_s,es_wind_speed_m_s,pt_hydro_inflow_mw_water,es_hydro_inflow_mw_water,import_price_eur_per_mwh
2024-06-24T00:00:00Z,35774.641399,6336.685329,29437.95607,0.0,24.0,8.152266,0.0,0.0,22.0,25.0,8.574018,8.2,1550.0,2931.459334,82.0
2024-06-24T01:00:00Z,35796.951533,6345.785374,29451.166159,0.0,24.0,8.289949,0.0,0.0,22.0,25.0,8.731371,8.195434,1550.0,2931.459334,82.0
2024-06-24T02:00:00Z,35863.602965,6370.142305,29493.46066,0.0,24.0,8.410695,0.0,0.0,22.0,25.0,8.869365,8.181769,1550.0,2931.459334,82.0
2024-06-24T03:00:00Z,36030.983166,6424.318207,29606.664959,0.0,24.0,8.512436,0.0,0.0,22.0,25.0,8.985641,8.159111,1550.0,2931.459334,82.0
2024-06-24T04:00:00Z,36381.955019,6523.495407,29858.459612,0.0,24.0,8.593431,0.0,0.0,22.0,25.0,9.078207,8.127631,1550.0,2931.459334,82.0
2024-06-24T05:00:00Z,36989.815218,6670.407328,30319.40789,0.0,24.0,8.652296,0.0,0.0,22.0,25.0,9.145481,8.087569,1550.0,2931.459334,82.0
2024-06-24T06:00:00Z,37842.744094,6840.530079,31002.214014,0.0,24.0,8.688023,0.0,0.0,22.0,25.0,9.186312,8.03923,1550.0,2931.459334,82.0
2024-06-24T07:00:00Z,38774.29152,6981.393537,31792.897983,204.719259,25.112605,8.7,195.818422,213.620097,22.890084,26.335126,9.2,7.982982,1550.0,2931.459334,86.005377
2024-06-24T08:00:00Z,39484.149032,7036.55283,32447.596202,399.17304,26.169419,8.688023,381.81769,416.52839,23.735535,27.603302,9.186312,7.919253,1550.0,2931.459334,89.809907
2024-06-24T09:00:00Z,39685.39001,6981.394411,32703.9956,573.610618,27.117449,8.652296,548.671026,598.55021,24.493959,28.740939,9.145481,7.848528,1550.0,2931.459334,93.222816
2024-06-24T10:00:00Z,39288.43081,6840.53839,32447.89242,719.284964,27.909157,8.593431,688.011705,750.558223,25.127326,29.690989,9.078207,7.771345,1550.0,2931.459334,96.072967
2024-06-24T11:00:00Z,38465.28993,6670.471941,31794.817989,828.891358,28.504844,8.512436,792.852604,864.930113,25.603875,30.405813,8.985641,7.688292,1550.0,2931.459334,98.21744
2024-06-24T12:00:00Z,37536.223937,6523.90859,31012.315347,896.933679,28.87464,8.410695,857.936563,935.930796,25.899712,30.849567,8.869365,7.6,1550.0,2931.459334,99.548702
2024-06-24T13:00:00Z,36789.606729,6426.491606,30363.115124,920.0,29.0,8.289949,880.0,960.0,26.0,31.0,8.731371,7.507142,1550.0,2931.459334,100.0
2024-06-24T14:00:00Z,36393.568007,6379.546313,30014.021694,896.933679,28.87464,8.152266,857.936563,935.930796,25.899712,30.849567,8.574018,7.410424,1550.0,2931.459334,99.548702
2024-06-24T15:00:00Z,36441.36077,6379.255966,30062.104804,828.891358,28.504844,8.0,792.852604,864.930113,25.603875,30.405813,8.4,7.310583,1550.0,2931.459334,98.21744
2024-06-24T16:00:00Z,37024.957485,6434.67734,30590.280145,719.284964,27.909157,7.835757,688.011705,750.558223,25.127326,29.690989,8.212293,7.208378,1550.0,2931.459334,96.072967
2024-06-24T17:00:00Z,38193.781851,6569.833712,31623.948139,573.610618,27.117449,7.662347,548.671026,598.55021,24.493959,28.740939,8.01411,7.104587,1550.0,2931.459334,93.222816
2024-06-24T18:00:00Z,39779.124448,6800.591707,32978.53274,399.17304,26.169419,7.482737,381.81769,416.52839,23.735535,27.603302,7.808842,7.0,1550.0,2931.459334,89.809907
2024-06-24T19:00:00Z,41275.006018,7094.720746,34180.285272,204.719259,25.112605,7.3,195.818422,213.620097,22.890084,26.335126,7.6,6.895413,1550.0,2931.459334,95.005377
2024-06-24T20:00:00Z,42020.365403,7354.003199,34666.362205,0.0,24.0,7.117263,0.0,0.0,22.0,25.0,7.391158,6.791622,1550.0,2931.459334,91.0
2024-06-24T21:00:00Z,41638.125743,7458.746637,34179.379106,0.0,24.0,6.937653,0.0,0.0,22.0,25.0,7.18589,6.689417,1550.0,2931.459334,91.0
2024-06-24T22:00:00Z,40328.139033,7353.997755,32974.141278,0.0,24.0,6.764243,0.0,0.0,22.0,25.0,6.987707,6.589576,1550.0,2931.459334,82.0
2024-06-24T23:00:00Z,38701.028268,7094.684646,31606.343621,0.0,24.0,6.6,0.0,0.0,22.0,25.0,6.8,6.492858,1550.0,2931.459334,82.0
2024-06-25T00:00:00Z,35774.641399,6336.685329,29437.95607,0.0,24.0,6.447734,0.0,0.0,22.0,25.0,6.625982,6.4,1722.002926,3000.974048,82.0
2024-06-25T01:00:00Z,35796.951533,6345.785374,29451.166159,0.0,24.0,6.310051,0.0,0.0,22.0,25.0,6.468629,6.311708,1722.002926,3000.974048,82.0
2024-06-25T02:00:00Z,35863.602965,6370.142305,29493.46066,0.0,24.0,6.189305,0.0,0.0,22.0,25.0,6.330635,6.228655,1722.002926,3000.974048,82.0
2024-06-25T03:00:00Z,36030.983166,6424.318207,29606.664959,0.0,24.0,6.087564,0.0,0.0,22.0,25.0,6.214359,6.151472,1722.002926,3000.974048,82.0
2024-06-25T04:00:00Z,36381.955019,6523.495407,29858.459612,0.0,24.0,6.006569,0.0,0.0,22.0,25.0,6.121793,6.080747,1722.002926,3000.974048,82.0
2024-06-25T05:00:00Z,36989.815218,6670.407328,30319.40789,0.0,24.0,5.947704,0.0,0.0,22.0,25.0,6.054519,6.017018,1722.002926,3000.974048,82.0
2024-06-25T06:00:00Z,37842.744094,6840.530079,31002.214014,0.0,24.0,5.911977,0.0,0.0,22.0,25.0,6.013688,5.96077,1722.002926,3000.974048,82.0
2024-06-25T07:00:00Z,38774.29152,6981.393537,31792.897983,204.719259,25.112605,5.9,195.818422,213.620097,22.890084,26.335126,6.0,5.912431,1722.002926,3000.974048,86.005377
2024-06-25T08:00:00Z,39484.149032,7036.55283,32447.596202,399.17304,26.169419,5.911977,381.81769,416.52839,23.735535,27.603302,6.013688,5.872369,1722.002926,3000.974048,89.809907
2024-06-25T09:00:00Z,39685.39001,6981.394411,32703.9956,573.610618,27.117449,5.947704,548.671026,598.55021,24.493959,28.740939,6.054519,5.840889,1722.002926,3000.974048,93.222816
2024-06-25T10:00:00Z,39288.43081,6840.53839,32447.89242,719.284964,27.909157,6.006569,688.011705,750.558223,25.127326,29.690989,6.121793,5.818231,1722.002926,3000.974048,96.072967
2024-06-25T11:00:00Z,38465.28993,6670.471941,31794.817989,828.891358,28.504844,6.087564,792.852604,864.930113,25.603875,30.405813,6.214359,5.804566,1722.002926,3000.974048,98.21744
2024-06-25T12:00:00Z,37536.223937,6523.90859,31012.315347,896.933679,28.87464,6.189305,857.936563,935.930796,25.899712,30.849567,6.330635,5.8,1722.002926,3000.974048,99.548702
2024-06-25T13:00:00Z,36789.606729,6426.491606,30363.115124,920.0,29.0,6.310051,880.0,960.0,26.0,31.0,6.468629,5.804566,1722.002926,3000.974048,100.0
2024-06-25T14:00:00Z,36393.568007,6379.546313,30014.021694,896.933679,28.87464,6.447734,857.936563,935.930796,25.899712,30.849567,6.625982,5.818231,1722.002926,3000.974048,99.548702
2024-06-25T15:00:00Z,36441.36077,6379.255966,30062.104804,828.891358,28.504844,6.6,792.852604,864.930113,25.603875,30.405813,6.8,5.840889,1722.002926,3000.974048,98.21744
2024-06-25T16:00:00Z,37024.957485,6434.67734,30590.280145,719.284964,27.909157,6.764243,688.011705,750.558223,25.127326,29.690989,6.987707,5.872369,1722.002926,3000.974048,96.072967
2024-06-25T17:00:00Z,38193.781851,6569.833712,31623.948139,573.610618,27.117449,6.937653,548.671026,598.55021,24.493959,28.740939,7.18589,5.912431,1722.002926,3000.974048,93.222816
2024-06-25T18:00:00Z,39779.124448,6800.591707,32978.53274,399.17304,26.169419,7.117263,381.81769,416.52839,23.735535,27.603302,7.391158,5.96077,1722.002926,3000.974048,89.809907
2024-06-25T19:00:00Z,41275.006018,7094.720746,34180.285272,204.719259,25.112605,7.3,195.818422,213.620097,22.890084,26.335126,7.6,6.017018,1722.002926,3000.974048,95.005377
2024-06-25T20:00:00Z,42020.365403,7354.003199,34666.362205,0.0,24.0,7.482737,0.0,0.0,22.0,25.0,7.808842,6.080747,1722.002926,3000.974048,91.0
2024-06-25T21:00:00Z,41638.125743,7458.746637,34179.379106,0.0,24.0,7.662347,0.0,0.0,22.0,25.0,8.01411,6.151472,1722.002926,3000.974048,91.0
2024-06-25T22:00:00Z,40328.139033,7353.997755,32974.141278,0.0,24.0,7.835757,0.0,0.0,22.0,25.0,8.212293,6.228655,1722.002926,3000.974048,82.0
2024-06-25T23:00:00Z,38701.028268,7094.684646,31606.343621,0.0,24.0,8.0,0.0,0.0,22.0,25.0,8.4,6.311708,1722.002926,3000.974048,82.0
2024-06-26T00:00:00Z,35774.641399,6336.685329,29437.95607,0.0,24.0,8.152266,0.0,0.0,22.0,25.0,8.574018,6.4,1764.484141,2806.198146,82.0
2024-06-26T01:00:00Z,35796.951533,6345.785374,29451.166159,0.0,24.0,8.289949,0.0,0.0,22.0,25.0,8.731371,6.492858,1764.484141,2806.198146,82.0
2024-06-26T02:00:00Z,35863.602965,6370.142305,29493.46066,0.0,24.0,8.410695,0.0,0.0,22.0,25.0,8.869365,6.589576,1764.484141,2806.198146,82.0
2024-06-26T03:00:00Z,36030.983166,6424.318207,29606.664959,0.0,24.0,8.512436,0.0,0.0,22.0,25.0,8.985641,6.689417,1764.484141,2806.198146,82.0
2024-06-26T04:00:00Z,36381.955019,6523.495407,29858.459612,0.0,24.0,8.593431,0.0,0.0,22.0,25.0,9.078207,6.791622,1764.484141,2806.198146,82.0
2024-06-26T05:00:00Z,36989.815218,6670.407328,30319.40789,0.0,24.0,8.652296,0.0,0.0,22.0,25.0,9.145481,6.895413,1764.484141,2806.198146,82.0
2024-06-26T06:00:00Z,37842.744094,6840.530079,31002.214014,0.0,24.0,8.688023,0.0,0.0,22.0,25.0,9.186312,7.0,1764.484141,2806.198146,82.0
2024-06-26T07:00:00Z,38774.29152,6981.393537,31792.897983,204.719259,25.112605,8.7,195.818422,213.620097,22.890084,26.335126,9.2,7.104587,1764.484141,2806.198146,86.005377
2024-06-26T08:00:00Z,39484.149032,7036.55283,32447.596202,399.17304,26.169419,8.688023,381.81769,416.52839,23.735535,27.603302,9.186312,7.208378,1764.484141,2806.198146,89.809907
2024-06-26T09:00:00Z,39685.39001,6981.394411,32703.9956,573.610618,27.117449,8.652296,548.671026,598.55021,24.493959,28.740939,9.145481,7.310583,1764.484141,2806.198146,93.222816
2024-06-26T10:00:00Z,39288.43081,6840.53839,32447.89242,719.284964,27.909157,8.593431,688.011705,750.558223,25.127326,29.690989,9.078207,7.410424,1764.484141,2806.198146,96.072967
2024-06-26T11:00:00Z,38465.28993,6670.471941,31794.817989,828.891358,28.504844,8.512436,792.852604,864.930113,25.603875,30.405813,8.985641,7.507142,1764.484141,2806.198146,98.21744
2024-06-26T12:00:00Z,37536.223937,6523.90859,31012.315347,896.933679,28.87464,8.410695,857.936563,935.930796,25.899712,30.849567,8.869365,7.6,1764.484141,2806.198146,99.548702
2024-06-26T13:00:00Z,36789.606729,6426.491606,30363.115124,920.0,29.0,8.289949,880.0,960.0,26.0,31.0,8.731371,7.688292,1764.484141,2806.198146,100.0
2024-06-26T14:00:00Z,36393.568007,6379.546313,30014.021694,896.933679,28.87464,8.152266,857.936563,935.930796,25.899712,30.849567,8.574018,7.771345,1764.484141,2806.198146,99.548702
2024-06-26T15:00:00Z,36441.36077,6379.255966,30062.104804,828.891358,28.504844,8.0,792.852604,864.930113,25.603875,30.405813,8.4,7.848528,1764.484141,2806.198146,98.21744
2024-06-26T16:00:00Z,37024.957485,6434.67734,30590.280145,719.284964,27.909157,7.835757,688.011705,750.558223,25.127326,29.690989,8.212293,7.919253,1764.484141,2806.198146,96.072967
