timestamp,demand_mw,irradiance_w_m2,ambient_temperature_c,wind_speed_m_s
2026-01-05 00:00:00+00:00,203.571,0.0,6.464,6.963
2026-01-05 01:00:00+00:00,197.396,0.0,5.726,8.306
2026-01-05 02:00:00+00:00,207.349,0.0,5.282,9.512
2026-01-05 03:00:00+00:00,210.468,0.0,5.168,9.556
2026-01-05 04:00:00+00:00,200.438,0.0,5.394,7.646
2026-01-05 05:00:00+00:00,211.162,0.0,5.949,10.046
2026-01-05 06:00:00+00:00,228.023,0.0,6.798,10.086
2026-01-05 07:00:00+00:00,234.595,0.0,7.888,10.483
2026-01-05 08:00:00+00:00,239.948,228.518,9.148,11.47
2026-01-05 09:00:00+00:00,232.873,439.665,10.495,8.46
2026-01-05 10:00:00+00:00,233.981,611.731,11.842,9.496
2026-01-05 11:00:00+00:00,225.7,726.493,13.1,10.241
2026-01-05 12:00:00+00:00,217.972,771.187,14.186,8.267
2026-01-05 13:00:00+00:00,224.427,739.952,15.031,10.467
2026-01-05 14:00:00+00:00,227.641,634.579,15.58,9.346
2026-01-05 15:00:00+00:00,232.023,464.477,15.798,9.53
2026-01-05 16:00:00+00:00,251.981,245.824,15.675,8.251
2026-01-05 17:00:00+00:00,259.204,0.0,15.221,9.283
2026-01-05 18:00:00+00:00,278.845,0.0,14.471,9.49
2026-01-05 19:00:00+00:00,278.273,0.0,13.478,8.905
2026-01-05 20:00:00+00:00,274.095,0.0,12.314,9.068
2026-01-05 21:00:00+00:00,261.718,0.0,11.061,9.326
2026-01-05 22:00:00+00:00,257.9,0.0,9.805,8.702
2026-01-05 23:00:00+00:00,237.585,0.0,8.637,9.591
2026-01-06 00:00:00+00:00,207.724,0.0,7.637,9.913
2026-01-06 01:00:00+00:00,208.507,0.0,6.877,10.654
2026-01-06 02:00:00+00:00,213.773,0.0,6.41,11.42
2026-01-06 03:00:00+00:00,214.94,0.0,6.27,9.986
2026-01-06 04:00:00+00:00,219.427,0.0,6.469,10.864
2026-01-06 05:00:00+00:00,226.809,0.0,6.996,12.186
2026-01-06 06:00:00+00:00,244.877,0.0,7.816,10.338
2026-01-06 07:00:00+00:00,240.722,0.0,8.875,10.1
2026-01-06 08:00:00+00:00,243.832,245.824,10.102,10.643
2026-01-06 09:00:00+00:00,239.205,464.477,11.416,10.787
2026-01-06 10:00:00+00:00,238.566,634.579,12.727,9.674
2026-01-06 11:00:00+00:00,233.117,739.952,13.949,10.226
2026-01-06 12:00:00+00:00,222.483,771.187,14.998,9.314
2026-01-06 13:00:00+00:00,219.743,726.493,15.804,8.761
2026-01-06 14:00:00+00:00,226.07,611.731,16.313,8.01
2026-01-06 15:00:00+00:00,244.19,439.665,16.491,8.951
2026-01-06 16:00:00+00:00,258.193,228.518,16.325,6.511
2026-01-06 17:00:00+00:00,270.769,0.0,15.829,4.739
