timestamp,demand_mw,irradiance_w_m2,ambient_temperature_c,wind_speed_m_s,reservoir_inflow_mw_water,river_inflow_mw_water
2026-04-01 00:00:00+00:00,180.0,0.0,6.0,7.0,42.0,18.0
2026-04-01 01:00:00+00:00,174.0,0.0,5.5,7.5,43.0,18.0
2026-04-01 02:00:00+00:00,170.0,0.0,5.0,8.0,45.0,19.0
2026-04-01 03:00:00+00:00,168.0,0.0,4.8,8.5,46.0,19.0
2026-04-01 04:00:00+00:00,172.0,0.0,5.0,8.0,48.0,20.0
2026-04-01 05:00:00+00:00,185.0,0.0,6.0,7.0,52.0,22.0
2026-04-01 06:00:00+00:00,205.0,90.0,7.5,6.5,58.0,24.0
2026-04-01 07:00:00+00:00,220.0,220.0,9.0,6.0,64.0,27.0
2026-04-01 08:00:00+00:00,225.0,420.0,11.0,5.5,72.0,30.0
2026-04-01 09:00:00+00:00,218.0,620.0,13.0,5.0,80.0,34.0
2026-04-01 10:00:00+00:00,208.0,780.0,15.0,4.5,88.0,37.0
2026-04-01 11:00:00+00:00,198.0,860.0,16.0,4.0,92.0,40.0
2026-04-01 12:00:00+00:00,194.0,890.0,17.0,4.0,95.0,42.0
2026-04-01 13:00:00+00:00,196.0,830.0,17.5,4.5,92.0,41.0
2026-04-01 14:00:00+00:00,205.0,690.0,17.0,5.0,86.0,38.0
2026-04-01 15:00:00+00:00,218.0,500.0,16.0,5.5,78.0,34.0
2026-04-01 16:00:00+00:00,232.0,280.0,14.5,6.0,68.0,30.0
2026-04-01 17:00:00+00:00,248.0,100.0,13.0,6.5,58.0,26.0
2026-04-01 18:00:00+00:00,258.0,0.0,11.0,7.0,50.0,23.0
2026-04-01 19:00:00+00:00,260.0,0.0,9.5,7.5,46.0,21.0
2026-04-01 20:00:00+00:00,248.0,0.0,8.5,8.0,44.0,20.0
2026-04-01 21:00:00+00:00,228.0,0.0,7.5,8.5,43.0,19.0
2026-04-01 22:00:00+00:00,205.0,0.0,7.0,8.0,42.0,18.0
2026-04-01 23:00:00+00:00,190.0,0.0,6.5,7.5,42.0,18.0
