timestamp,demand_mw,irradiance_w_m2,ambient_temperature_c,wind_speed_m_s,central_load_mw,south_load_mw,central_south_availability
2026-03-01 00:00:00+00:00,94.0,0.0,10.0,7.0,36.0,58.0,1.0
2026-03-01 01:00:00+00:00,89.0,0.0,9.5,8.0,34.0,55.0,1.0
2026-03-01 02:00:00+00:00,85.0,0.0,9.0,9.0,33.0,52.0,1.0
2026-03-01 03:00:00+00:00,82.0,0.0,8.8,10.0,32.0,50.0,1.0
2026-03-01 04:00:00+00:00,88.0,0.0,8.6,8.5,34.0,54.0,1.0
2026-03-01 05:00:00+00:00,100.0,60.0,9.2,7.5,38.0,62.0,1.0
2026-03-01 06:00:00+00:00,115.0,180.0,11.0,7.0,45.0,70.0,1.0
2026-03-01 07:00:00+00:00,130.0,420.0,14.0,6.5,52.0,78.0,1.0
2026-03-01 08:00:00+00:00,140.0,680.0,17.0,6.0,58.0,82.0,0.6
2026-03-01 09:00:00+00:00,146.0,850.0,20.0,5.5,61.0,85.0,0.6
2026-03-01 10:00:00+00:00,144.0,930.0,23.0,5.0,60.0,84.0,0.6
2026-03-01 11:00:00+00:00,140.0,980.0,25.0,4.5,58.0,82.0,0.6
2026-03-01 12:00:00+00:00,136.0,960.0,26.0,4.0,56.0,80.0,0.6
2026-03-01 13:00:00+00:00,134.0,880.0,27.0,4.5,55.0,79.0,0.6
2026-03-01 14:00:00+00:00,137.0,720.0,26.0,5.0,56.0,81.0,1.0
2026-03-01 15:00:00+00:00,142.0,500.0,24.0,5.5,58.0,84.0,1.0
2026-03-01 16:00:00+00:00,148.0,260.0,22.0,6.0,60.0,88.0,1.0
2026-03-01 17:00:00+00:00,154.0,90.0,19.0,7.0,62.0,92.0,1.0
2026-03-01 18:00:00+00:00,156.0,0.0,16.0,8.0,61.0,95.0,1.0
2026-03-01 19:00:00+00:00,148.0,0.0,14.0,9.0,58.0,90.0,1.0
2026-03-01 20:00:00+00:00,134.0,0.0,13.0,8.0,52.0,82.0,1.0
2026-03-01 21:00:00+00:00,121.0,0.0,12.0,7.5,46.0,75.0,1.0
2026-03-01 22:00:00+00:00,109.0,0.0,11.0,7.0,41.0,68.0,1.0
2026-03-01 23:00:00+00:00,100.0,0.0,10.5,6.5,38.0,62.0,1.0
